"STATION","NAME","DATE","AWND","PRCP","TAVG","TMAX","TMIN","WDF2","WSF2"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-02-05","12.53","0.08",,"83","72","  160","19.9"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-02-06","11.18","0.00",,"79","59","  260","25.1"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-02-07","6.71","0.00",,"66","56","  300","16.1"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-02-08","6.26","0.00",,"71","51","  100","15.0"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-02-09","10.29","0.01",,"79","62","  150","19.9"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-02-10","9.84","0.00",,"70","52","  310","21.0"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-02-11","5.14","0.00",,"66","46","  310","15.0"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-02-12","9.84","0.46",,"79","56","  260","34.9"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-02-13","9.62","0.00",,"66","51","  310","21.0"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-02-14","5.59","0.00",,"63","45","  330","13.0"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-02-15","5.82","0.00",,"74","53","  160","15.0"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-02-16","7.83","0.02",,"67","53","  330","16.1"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-02-17","8.05","0.00",,"66","49","  310","17.0"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-02-18","4.25","0.00",,"66","51","  330","15.0"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-02-19","2.91","0.00",,"68","50","  340","8.9"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-02-20","3.36","0.00",,"76","56","  100","14.1"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-02-21","7.16","0.02",,"77","59","  110","16.1"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-02-22","11.18","0.22",,"73","66","  170","23.0"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-02-23","3.80","0.00",,"83","63","  130","12.1"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-02-24","6.93","0.54",,"82","61","  320","19.9"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-02-25","10.07","0.00",,"65","51","  330","19.9"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-02-26","5.59","0.00",,"68","46","  340","15.0"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-02-27","7.61","0.16",,"75","50","  220","25.1"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-02-28","8.05","0.00",,"68","50","  340","16.1"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-03-01","6.26","0.00",,"70","49","  140","15.0"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-03-02","12.75","0.14",,"79","61","  190","25.9"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-03-03","11.63","0.00",,"66","53","  280","21.0"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-03-04","8.50","0.00",,"67","49","  270","17.9"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-03-05","6.49","0.00",,"66","44","  300","14.1"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-03-06","6.49","0.00",,"72","50","  350","14.1"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-03-07","6.71","0.00",,"74","53","   90","16.1"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-03-08","3.58","0.00",,"76","55","  120","13.0"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-03-09","5.59","0.00",,"76","59","  120","15.0"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-03-10","11.18","0.00",,"79","64","  130","19.9"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-03-11","13.20","0.00",,"80","71","  150","23.0"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-03-12","7.83","1.20",,"84","68","  310","23.0"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-03-13","12.30","0.00",,"77","63","  270","21.9"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-03-14","9.17","0.00",,"79","58","  260","21.0"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-03-15","8.95","0.00",,"80","61","  270","17.9"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-03-16","6.04","0.00",,"72","57","  310","14.1"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-03-17","5.82","0.10",,"68","60","  260","15.0"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-03-18","7.83","0.00",,"71","58","  290","16.1"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-03-19","4.70","0.00",,"73","54","  290","13.0"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-03-20","6.49","0.00",,"76","55","  100","16.1"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-03-21","12.53","0.00",,"83","68","  140","23.9"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-03-22","7.61","0.20",,"75","63","  260","17.0"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-03-23","5.82","0.00",,"77","60","  280","15.0"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-03-24","7.83","0.00",,"79","60","   90","17.0"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-03-25","8.50","0.00",,"78","62","  130","17.0"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-03-26","7.83","0.84",,"86","71","  250","16.1"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-03-27","8.28","0.00",,"82","63","  100","17.0"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-03-28","12.30","0.00",,"80","72","  120","21.0"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-03-29","13.87","0.33",,"80","62","  210","23.0"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-03-30","6.93","0.00",,"76","58","  280","14.1"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-03-31","5.14","0.00",,"78","58","  140","8.9"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-04-01","6.26","0.00",,"80","60","   80","16.1"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-04-02","8.50","0.00",,"81","66","  110","17.0"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-04-03","8.28","0.00",,"81","65","   90","17.0"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-04-04","9.40","0.00",,"82","69","  100","17.0"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-04-05","10.96","0.00",,"82","72","   80","19.9"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-04-06","11.18","0.00",,"81","70","  110","17.0"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-04-07","10.29","0.00",,"83","70","  110","17.0"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-04-08","10.96","0.00",,"84","74","  120","17.0"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-04-09","7.38","0.00",,"89","73","  200","16.1"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-04-10","10.51","0.00",,"84","75","   90","17.9"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-04-11","9.17","1.06",,"85","69","  110","17.0"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-04-12","7.38","2.15",,"79","69","   90","21.0"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-04-13","13.20","0.00",,"82","73","   70","21.0"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-04-14","15.21","0.00",,"81","73","   70","23.0"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-04-15","14.99","0.01",,"81","72","   90","23.9"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-04-16","11.86","0.00",,"82","69","   90","21.9"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-04-17","11.63","0.06",,"80","69","  110","17.9"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-04-18","10.07","2.13",,"79","68","   30","21.0"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-04-19","6.93","0.00",,"78","69","   80","15.0"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-04-20","4.25","0.73",,"83","68","  140","16.1"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-04-21","6.93","0.00",,"86","70","  260","17.0"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-04-22","4.92","0.00",,"86","68","  120","12.1"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-04-23","7.38","0.00",,"85","67","  100","16.1"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-04-24","11.41","0.00",,"84","72","  140","21.9"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-04-25","11.41","0.00",,"87","74","  140","19.9"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-04-26","8.50","2.80",,"83","68","  270","25.9"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-04-27","7.61","0.00",,"87","68","  260","15.0"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-04-28","5.59","0.00",,"84","71","   90","12.1"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-04-29","8.95","0.00",,"80","73","  130","17.9"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-04-30","12.53","0.01",,"85","72","  120","21.9"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-05-01","11.18","0.00",,"86","78","  120","17.0"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-05-02","12.53","0.00",,"87","79","  120","19.9"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-05-03","10.51","0.00",,"87","78","  120","17.9"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-05-04","9.62","0.00",,"89","78","  130","17.0"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-05-05","6.93","0.02",,"90","77","  140","15.0"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-05-06","4.92","0.00",,"93","79","  130","14.1"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-05-07","4.70","0.00",,"91","79","  110","15.0"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-05-08","5.14","0.00",,"93","77","   90","21.9"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-05-09","6.49","0.00",,"95","77","  110","14.1"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-05-10","11.41","0.00",,"87","79","   90","17.9"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-05-11","14.99","0.00",,"86","78","   80","21.0"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-05-12","14.76","0.00",,"86","75","  100","21.0"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-05-13","13.42","0.00",,"86","75","   80","21.9"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-05-14","14.99","0.00",,"86","77","   80","21.9"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-05-15","13.42","0.00",,"88","76","   90","19.9"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-05-16","11.63","0.28",,"86","78","  120","17.9"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-05-17","8.05","2.53",,"87","72","  110","17.9"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-05-18","2.68","0.00",,"88","72","  150","10.1"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-05-19","3.80","0.02",,"85","75","  260","13.0"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-05-20","6.26","0.00",,"88","74","   80","14.1"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-05-21","8.50","0.00",,"88","77","   90","17.9"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-05-22","10.07","0.00",,"87","77","   80","21.0"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-05-23","9.62","0.00",,"88","77","   70","17.0"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-05-24","8.28","0.00",,"89","78","   90","17.0"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-05-25","4.70","0.01",,"88","76","  100","15.0"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-05-26","3.58","0.49",,"90","74","  120","17.0"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-05-27","4.92","0.00",,"90","74","  130","15.0"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-05-28","2.91","0.07",,"89","74","  120","23.0"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-05-29","5.14","0.00",,"89","73","  120","14.1"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-05-30","6.71","0.00",,"90","77","  120","15.0"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-05-31","7.83","0.00",,"90","78","  120","17.9"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-06-01","5.82","0.38",,"88","77","  130","16.1"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-06-02","5.59","0.04",,"90","74","  290","15.0"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-06-03","5.37","3.17",,"91","72","   50","28.0"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-06-04","4.92","0.21",,"95","76","   90","23.0"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-06-05","5.37","1.37",,"94","73","  300","17.0"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-06-06","3.80","0.21",,"93","77","  220","21.0"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-06-07","5.59","0.25",,"95","78","  240","25.1"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-06-08","6.71","0.00",,"95","79","   70","16.1"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-06-09","7.83","0.00",,"91","80","   70","17.9"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-06-10","5.37","0.00",,"95","79","  100","14.1"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-06-11","6.49","0.09",,"91","80","  110","13.0"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-06-12","5.14","0.00",,"93","79","  100","16.1"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-06-13","6.49","0.00",,"93","82","  120","14.1"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-06-14","3.80","0.00",,"92","80","  360","13.0"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-06-15","4.03","0.00",,"94","80","  130","14.1"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-06-16","5.14","0.00",,"93","80","  120","16.1"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-06-17","4.03","0.23",,"95","76","  130","23.9"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-06-18","2.91","0.07",,"91","76","   50","15.0"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-06-19","5.82","0.00",,"92","77","  120","15.0"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-06-20","7.61","0.00",,"92","79","  110","17.9"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-06-21","10.96","0.00",,"93","83","  110","17.0"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-06-22","13.42","0.23",,"91","79","   90","25.1"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-06-23","14.09","0.27",,"91","80","  100","25.1"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-06-24","14.32","0.00",,"91","82","   90","21.0"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-06-25","12.75","0.10",,"92","79","   80","21.0"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-06-26","11.41","0.00",,"91","83","  140","17.9"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-06-27","9.62","0.00",,"92","81","  120","16.1"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-06-28","10.96","0.03",,"92","82","  130","17.9"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-06-29","12.30","0.00",,"92","81","  100","19.9"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-06-30","6.71","0.55",,"92","77","  120","29.1"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-07-01","7.61","0.00",,"92","82","  130","15.0"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-07-02","4.70","0.20",,"92","76","  310","16.1"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-07-03","4.03","0.41",,"88","78","   90","17.9"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-07-04","4.70","1.22",,"89","73","  220","28.0"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-07-05","6.04","0.41",,"88","76","  120","21.0"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-07-06","5.14","0.00",,"90","76","  120","12.1"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-07-07","6.93","0.01",,"92","81","   40","16.1"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-07-08","6.93","0.01",,"92","80","   90","17.0"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-07-09","4.70","0.00",,"92","78","  140","14.1"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-07-10","4.92","0.41",,"94","78","  150","31.1"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-07-11","5.14","0.69",,"95","80","  160","15.0"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-07-12","6.04","0.00",,"94","79","  140","15.0"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-07-13","3.80","0.00",,"93","80","  230","14.1"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-07-14","5.37","1.48",,"88","77","   90","19.9"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-07-15","9.84","0.31",,"92","72","  150","33.1"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-07-16","9.62","0.01",,"88","75","  160","21.0"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-07-17","10.96","0.02",,"91","77","   90","21.9"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-07-18","11.41","0.34",,"91","79","  100","28.0"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-07-19","13.65","0.02",,"91","80","  100","23.9"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-07-20","17.00","0.03",,"91","80","  100","25.9"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-07-21","14.76","0.00",,"91","82","   80","21.9"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-07-22","11.63","0.04",,"91","82","   80","21.0"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-07-23","13.20","1.50",,"88","77","  100","32.0"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-07-24","10.96","0.10",,"91","80","   90","19.9"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-07-25","8.50","0.07",,"89","78","  160","21.0"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-07-26","7.61","0.00",,"91","80","  110","14.1"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-07-27","5.82","0.00",,"91","82","  120","15.0"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-07-28","4.03","0.00",,"94","80","  130","14.1"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-07-29","5.37","0.00",,"92","79","  130","13.0"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-07-30","5.82","0.02",,"94","80","  190","17.0"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-07-31","4.25","0.06",,"93","79","   90","15.0"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-08-01","3.36","0.01",,"93","78","  220","15.0"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-08-02","2.01","0.00",,"91","81","  160","13.0"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-08-03","5.59","0.03",,"92","80","   90","16.1"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-08-04","5.37","0.02",,"92","78","  120","16.1"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-08-05","7.61","0.03",,"92","78","  120","17.0"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-08-06","5.59","0.00",,"93","81","  120","16.1"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-08-07","3.58","0.00",,"94","81","  210","17.0"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-08-08","4.70","1.38",,"87","72","  290","25.9"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-08-09","5.82","0.51",,"86","76","  160","14.1"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-08-10","6.49","1.06",,"84","75","  150","17.0"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-08-11","5.59","0.00",,"91","78","  130","14.1"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-08-12","4.25","0.00",,"93","80","  130","14.1"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-08-13","4.47","0.00",,"94","81","  120","13.0"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-08-14","3.36","0.08",,"93","82","  130","15.0"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-08-15","3.36","0.82",,"96","76","  340","33.1"
